Nama Hotel
Jivana Resort
Padanta Homestay
Paer Doe Homestay @ Sembalun RedPartner
Kuta Circle Homestay
RedDoorz @ Ampenan Mataram Lombok
Gilipaddy Resort
Villa Nero
Hotel Tugu Lombok
Mangsit Suite By Holiday Resort Lombok
Gili Welldone Guesthouse
Villa Tiara
Tetebatu Indah Homestay
Segara Anak
Senang Private Villas
Gili Bagaz Cottages
DeKa Homestay
Harmony Villas Lombok
Matra Bungalows Redpartner Near Tetebatu Waterfall Redpartner
The Gate Rinjani
RedDoorz near Siloam Hospital Mataram
Dream Estate Resort
The Jungle Villas
Pelangi Cottages and Bar
RedDoorz @ Bale Eja Syariah Senggigi
Apalagi Villas
Merumatta Senggigi Lombok
Dewi Sri Guest House
The Pondok
Pakuna Beach Hotel
Sudamala Resort, Senggigi, Lombok
PinkCoco Gili Trawangan
Inlight Lombok
OYO 91516 Wisata Hotel
Truntum Boutique Mandalika
The Secret Garden Village Mandalika
Joje Bungalow
Gili Escape Bungalows
Pratama Hotel and Convention
OYO 91739 Ayu Bypass Mansion
OYO 91829 Hotel Artha
OYO 2284 Grand Villa Meninting
SPOT ON 91811 Rumah Inap Bunda Nurhayati
Scallywags Mango Retreat
OYO 91744 Hotel Gemilang
La Cocoteraie Ecolodge
Sikara Lombok Hotel
Pera ONE Villas
Puri Bunga Beach Cottage
OYO 91881 Aratha Homestay
RedDoorz Premium near Senggigi Beach
Pool Villa Club Senggigi Lombok
OYO 91564 Ayodya Guest House
Rara Villas Lombok
Lombok Sunset Bay Resort Sekotong
Sunsethouse Lombok
Jeeva Santai Villas
Blue Coral Inn
OYO 1206 Lombok Guest House
Panda Hostel
Oceans 5 Dive Resort
Indah Homestay Senggigi
OYO 91830 Hotel Gemilang 2
Duyung Rooms and Resto
Sari Gili  Bungalow
Palm Trees  Villas
Roby Homestay
Intan Inn Hostel
Grand Royal B.I.L Hotel
Spice Island Villa
Langko 48 RedPartner Near Islamic Center Mosque RedPartner
JM Hotel Kuta Lombok
Bel Air Resort and Spa
Bale Sembahulun Cottages and Tend
Batu Bolong Cottage Senggigi
Edotel Esemkada Syariah RedPartner
Malimbu Cliff Villa
Lombok Beach Villa
Gili White Bamboo by The Lavana
Coral Beach 2 Bungalow
Paer Doe Bungalow RedPartner
Jaya Homestay
Nutana Hotel Lombok
Lumière Hotel Gili Trawangan
Pearl of Trawangan Resort
Santai Homestay
The Trawangan Resort
Rinjani Beach Eco Resort
Guest House Rumah Lombok
Eco Garden Resort  Near Pantai Kura Kura RedPartner
Jeeva Klui Resort
Anema Wellnes Resort Gili Lombok
Batatu Villa
Salon de Nomad Gili T
SPOT ON 91383 Green Forest Homestay
Cozy Cottages Lombok
SPOT ON 91771 Homestay Bang Haji
Puri Mas Boutique Resort & Spa
Enfaza Hotel Syariah
RedDoorz Plus @ Raya Senggigi Lombok
The Lakshmi Villas
T&T Homestay
RedDoorz near Transmart Lombok Mataram
MAHAMAYA Gili Meno
Gili Palms Resort
Mandiri Homestay
Karma Reef
Tom and Jerry Villa Lombok
Matahari Villas
Gili Khayangan Villas
Avia Villa Resort
OYO 1605 Puput Resort Batulayar Senggigi
Aldi's Bungalow
Uki Village
Gili Ilalang Village
Ekas Beach Guesthouse
Kokoi Villas
Desa Dunia Beda Beach Resort
De Coco Villa and Suites
Trawangan Dive Resort
Pesona Beach Resort & Spa
Chill Out Bungalows
Anahata - Tropical Private Villas Gili Air
Friends Beach Hotel
Qunci Villas
Royal Singosari Villa Karang
Villa Collard
Mantra Gili
Villa Kinagu
Dream Hotel
Krisna Bungalows and Restaurant
Tír na nÓg Beachfront Resort
Diva Lombok Hotel
Blu d'aMare
Dream Hotel Gili Trawangan
Akalanka Bungalow
Mahogany Cottage
BLEU VERDE, i am colors
Kumbara Villas
Guest House Puri 3 Bedroom
Wilson's Retreat
Mentigi Bay Dome Villas
MAJO Private Villas
Frangipani Garden Villa
Village Corner Homestay
Gili Nyepi
Rinjani Green Park
Bruga Villas Restaurant and Spa
Beach Balcony Ocean View Villa
Jeeva Beloam Beach Camp
Mango Lodge
The Suites Lombok
S Hotel and Restaurant
Batu Layar Hotel
Banana Leaf Bungalows
Mama Bella's Retreat
Villa Pulau Cinta
Lutwala Dive and Bungalows
Kelapa Villas
Pondok Indah Bungalow Tetebatu
Segara Lombok
Hotel Maktal
Alam Gili
The Rabbit Tree - Hostel
Nanas Homestay
slow private pool villas
Mascot Beach Hotel
GILI BUANA Hostel
Pearl of Trawangan
Ponte Villas Gili Trawangan
Villa Samalas Resort and Restaurant
Sunrise Hotel
Tamu Lombok Guesthouse
Villa Phy Phy 2
Villa Gili Bali Beach
The Puncak
Sammy Cottages Senggigi
Gili Eco Villas
Absolute Villa
Coconut Garden Resort
Hotel Sindhu 2 Inn
Villa Alasa
Vamana Resort
Scallywags Gili Air
Kokomo Resort Gili Gede
Gili Air Bungalows
Katara Gili, Boutique Rooms and Bungalows
Puri Bunga Cottages
Blue Marlin Trawangan
Villa Umbrella Lombok
Satya Hotel Praya
Villa Buah
Hoomea Private Pool Villas
Wah Resort Gili Trawangan
Scallywags Resort
Meno House
Nero North
Pondok Santi Estate
Jo Je Bungalow
Hotel Ombak Sunset
The Lombok Lodge
Ama-Lurra Villa
SENTUL Hostel
Seven Havens Residence
LES RIZIERES TETEBATU
Manta Dive Resort Gili Air
Gili Villas
Senggigi Homes & Apartments
Eco Garden Resort - Ekas Lombok
Belukar Villas
Villa Karingal
Cape Rose
Fortune Hotel
Villa Tujuh
TriDD 02 Wisnu Residence
Villa Stanley
The Haven - Senggigi One B17
Summer Love Villa
Tunak Cottage
Martas Hotel Gili Trawangan
Villa Paradiso
Gili Kama
Kabila Villas
Qambodja Villas Lombok
Melati Garden Guesthouse
Villa Mataano
Gili Treehouses
Gili Amor Boutique Resort
Owa Lodge
Gili Sands Resort and Beach Club
The Oberoi Beach Resort, Lombok
The Yoga Garden
The Villas by Puri Mas Boutique Resort
Puri Mas Spa Resort
Pumpkin Villa  Lombok
Gili Kulemba Bungalow
Alam Mimpi Boutique Hotel
Bukit Pool Suites
KEMANGI BED AND BREAKFAST
Divine Divers Resort
Laluna Guesthouse
Gili Teak Boutique Resort
KyGunAya Villa
Villa Selalu
Villa Cantika Resort
Paradesa Living
Blue Salt Villa
Jago Gili Air
Villa Suriyah
Vyaana Gili Air
Bale Sebaya Bungalows
Sama Sama Bungalows
Puri Senggigi
Villa Marina
The This-Kon Gili Meno
Nipah Pool Villas and Restaurant
Rinjani Lodge
Mina Tanjung Beach Hotel
The Bambu Huts
Fantastic Gili Hostel
Princess Of Mentigi Bay
Gili Luxury Villa
